=========================================================================
Parameter Value(s)
-------------------------------------------------------------------------
"Year: 2020,2019,2018"
"Species Name: OPILIO TANNER CRAB"
=========================================================================
"Year","Trip Join","Haul Join","NMFS Area","Gear","Gear Description","Performance","Performance Description","Official Total Catch (mt)","Vessel","Vessel Length (ft)","IFQ Flag","Duration (Min)","Bottom Depth (Fathoms)","Fishing Depth (Fathoms)","Lat DD Start","Lon DD Start","Lat DD End","Lon DD End","T Table","Cruise","Permit","Haul Seq","Haul","Haul Date","Sample Type","% Retained","Date of Entry","Species Code","Species Name","Sex","Sample Size","Sample Number","Sample Weight (kg)","Extrapolated Number","Extrapolated Weight (kg)","Received from NORPAC","Loaded to Repository"
2018,'22937002134000000065','22937002134000004176',524,1,NON PELAGIC,1,NO PROBLEM,12.01,A110,219,N,472.2,38,38,58.68667,-170.085,58.71333,-170.03167,ATL,22937,2134,4176,2070,14-SEP-18,B,0,14-SEP-18,5,"OPILIO TANNER CRAB",M,263,2,.22,91,10.06,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004150',524,1,NON PELAGIC,1,NO PROBLEM,9.87,A110,219,N,165,38,38,58.87833,-170.42333,58.72833,-170.33167,ATL,22937,2134,4150,834,12-SEP-18,B,0,12-SEP-18,5,"OPILIO TANNER CRAB",M,290,7,.69,239,23.52,13-JUL-20,15-JUL-20
2018,'22353004635000000035','22353004635000001998',513,1,NON PELAGIC,1,NO PROBLEM,16.79,A486,123,N,229.8,37,37,57.49333,-167.82667,57.65,-167.66,ATL,22353,4635,1998,36,01-FEB-18,B,0,01-FEB-18,5,"OPILIO TANNER CRAB",M,360,1,.23,46,10.57,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004314',524,1,NON PELAGIC,1,NO PROBLEM,21.98,A110,219,N,210,39,39,58.75833,-170.47167,58.93667,-170.67,ATL,22937,2134,4314,905,29-SEP-18,B,0,29-SEP-18,5,"OPILIO TANNER CRAB",F,378,1,.04,58,2.33,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004256',524,1,NON PELAGIC,1,NO PROBLEM,4.67,A110,219,N,357,38,38,58.625,-169.725,58.29,-170.02,ATL,22937,2134,4256,881,24-SEP-18,B,0,24-SEP-18,5,"OPILIO TANNER CRAB",M,199,6,.86,138,19.81,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004270',521,1,NON PELAGIC,1,NO PROBLEM,4.96,A110,219,N,270,43,43,58.49333,-170.57,58.625,-171.01,ATL,22937,2134,4270,885,25-SEP-18,B,0,25-SEP-18,5,"OPILIO TANNER CRAB",M,220,10,1.54,225,34.61,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004272',524,1,NON PELAGIC,1,NO PROBLEM,4.21,A110,219,N,235.2,41,41,58.545,-170.94333,58.49833,-170.545,ATL,22937,2134,4272,886,25-SEP-18,B,0,25-SEP-18,5,"OPILIO TANNER CRAB",M,210,8,1.06,161,21.27,13-JUL-20,15-JUL-20
2018,'22864003261000000024','22864003261000001816',521,2,PELAGIC,1,NO PROBLEM,180.89,A041,341,N,277.2,114,99,59.66333,-177.47167,59.68667,-177.36167,ATL,22864,3261,1816,261,17-AUG-18,B,0,17-AUG-18,5,"OPILIO TANNER CRAB",M,60071,1,.01,3,.03,13-JUL-20,15-JUL-20
2018,'22456003369000000010','22456003369000000494',521,1,NON PELAGIC,1,NO PROBLEM,1.63,A047,185,N,129,52,52,57.67,-171.36667,57.75333,-171.515,ATL,22456,3369,494,247,04-APR-18,B,0,04-APR-18,5,"OPILIO TANNER CRAB",F,188,1,.06,9,.51,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004328',524,1,NON PELAGIC,1,NO PROBLEM,9.57,A110,219,N,418.8,38,38,58.625,-170.23667,58.56667,-170.17167,ATL,22937,2134,4328,910,30-SEP-18,B,0,30-SEP-18,5,"OPILIO TANNER CRAB",M,249,2,.22,77,8.45,13-JUL-20,15-JUL-20
2018,'22353004635000000038','22353004635000002130',513,1,NON PELAGIC,1,NO PROBLEM,4.19,A486,123,N,244.8,38,38,57.57333,-168.36667,57.795,-168.40667,ATL,22353,4635,2130,100,23-FEB-18,B,0,23-FEB-18,5,"OPILIO TANNER CRAB",M,267,1,.08,21,1.65,13-JUL-20,15-JUL-20
2018,'22705033470000000032','22705033470000002054',524,8,LONGLINER,1,NO PROBLEM,5.7,A716,119,N,895.2,70,,60.11,-175.86833,60.11,-176.31,ATL,22705,33470,2054,304,15-JUL-18,B,0,15-JUL-18,5,"OPILIO TANNER CRAB",M,3270,1,.44,1,.44,13-JUL-20,15-JUL-20
2018,'22353004635000000035','22353004635000002006',513,1,NON PELAGIC,1,NO PROBLEM,27.3,A486,123,N,265.2,38,38,57.41167,-167.70333,57.47,-167.54667,ATL,22353,4635,2006,42,02-FEB-18,B,0,02-FEB-18,5,"OPILIO TANNER CRAB",M,523,1,.18,52,9.27,13-JUL-20,15-JUL-20
2018,'22456003369000000010','22456003369000000550',513,1,NON PELAGIC,1,NO PROBLEM,21.96,A047,185,N,147,57,57,56.62,-167.97167,56.62833,-167.71333,ATL,22456,3369,550,275,09-APR-18,B,0,09-APR-18,5,"OPILIO TANNER CRAB",F,353,1,.08,61,4.87,13-JUL-20,15-JUL-20
2018,'22834001610000000055','22834001610000003060',524,1,NON PELAGIC,1,NO PROBLEM,12.48,A034,140,N,270,225,225,60.4,-178.81667,60.53333,-179.08333,ATL,22834,1610,3060,701,22-AUG-18,B,0,22-AUG-18,5,"OPILIO TANNER CRAB",M,233,1,.15,53,8,13-JUL-20,15-JUL-20
2018,'23059004092000000088','23059004092000004038',513,1,NON PELAGIC,1,NO PROBLEM,24.03,A283,166,N,133.2,35,35,57.71667,-167.025,57.765,-166.84167,ATL,23059,4092,4038,1028,06-NOV-18,B,0,06-NOV-18,5,"OPILIO TANNER CRAB",M,365,1,.46,66,30.18,13-JUL-20,15-JUL-20
2018,'22353004635000000039','22353004635000002186',509,1,NON PELAGIC,1,NO PROBLEM,32.9,A486,123,N,244.8,42,39,56.6,-164.24167,56.44,-164.565,ATL,22353,4635,2186,128,05-MAR-18,B,0,05-MAR-18,5,"OPILIO TANNER CRAB",M,794,1,.26,41,10.75,13-JUL-20,15-JUL-20
2018,'22834001610000000057','22834001610000003170',524,1,NON PELAGIC,1,NO PROBLEM,7.26,A034,140,N,205.2,42,42,58.40167,-170.75333,58.18,-170.715,ATL,22834,1610,3170,756,11-SEP-18,B,0,11-SEP-18,5,"OPILIO TANNER CRAB",M,133,4,.56,213,29.82,13-JUL-20,15-JUL-20
2018,'22834001610000000057','22834001610000003174',524,1,NON PELAGIC,1,NO PROBLEM,42.17,A034,140,N,199.8,42,42,58.37,-170.76667,58.12833,-170.75333,ATL,22834,1610,3174,758,11-SEP-18,B,0,11-SEP-18,5,"OPILIO TANNER CRAB",M,785,1,.12,54,6.44,13-JUL-20,15-JUL-20
2018,'22834001610000000057','22834001610000003178',524,1,NON PELAGIC,1,NO PROBLEM,24.16,A034,140,N,265.2,43,43,58.34667,-170.82167,58.04833,-170.80333,ATL,22834,1610,3178,760,12-SEP-18,B,0,12-SEP-18,5,"OPILIO TANNER CRAB",M,217,2,.24,222,26.62,13-JUL-20,15-JUL-20
2018,'22834001610000000057','22834001610000003184',524,1,NON PELAGIC,1,NO PROBLEM,34.4,A034,140,N,196.8,42,42,58.10333,-170.83,58.32667,-170.90667,ATL,22834,1610,3184,763,12-SEP-18,B,0,12-SEP-18,5,"OPILIO TANNER CRAB",M,478,1,.1,72,7.18,13-JUL-20,15-JUL-20
2018,'22834001610000000057','22834001610000003190',524,1,NON PELAGIC,1,NO PROBLEM,3.7,A034,140,N,184.8,43,43,58.14,-170.84667,58.34,-170.88167,ATL,22834,1610,3190,766,13-SEP-18,B,0,13-SEP-18,5,"OPILIO TANNER CRAB",M,113,4,.48,129,15.52,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004332',524,1,NON PELAGIC,1,NO PROBLEM,4,A110,219,N,268.8,38,38,58.575,-170.21667,58.30333,-170.12833,ATL,22937,2134,4332,911,01-OCT-18,B,0,01-OCT-18,5,"OPILIO TANNER CRAB",M,224,1,.14,18,2.5,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004112',524,1,NON PELAGIC,1,NO PROBLEM,41.67,A110,219,N,240,39,39,58.84333,-170.65333,58.68167,-170.29833,ATL,22937,2134,4112,821,08-SEP-18,B,0,08-SEP-18,5,"OPILIO TANNER CRAB",M,508,3,.23,246,18.85,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004104',524,1,NON PELAGIC,1,NO PROBLEM,23.31,A110,219,N,535.2,39,39,58.72667,-170.575,58.71167,-170.56833,ATL,22937,2134,4104,2062,08-SEP-18,B,0,08-SEP-18,5,"OPILIO TANNER CRAB",M,323,7,.62,505,44.71,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004122',524,1,NON PELAGIC,1,NO PROBLEM,47.12,A110,219,N,261,38,38,58.915,-170.66167,58.68667,-170.31667,ATL,22937,2134,4122,825,09-SEP-18,B,0,09-SEP-18,5,"OPILIO TANNER CRAB",F,655,1,.04,72,2.88,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004134',524,1,NON PELAGIC,1,NO PROBLEM,24.96,A110,219,N,301.2,39,39,58.68833,-170.35333,58.94667,-170.65333,ATL,22937,2134,4134,828,10-SEP-18,B,0,10-SEP-18,5,"OPILIO TANNER CRAB",M,397,4,.28,252,17.61,13-JUL-20,15-JUL-20
2018,'22937002134000000065','22937002134000004136',524,1,NON PELAGIC,1,NO PROBLEM,27.35,A110,219,N,510,40,40,58.71333,-170.62667,58.85,-170.91833,ATL,22937,2134,4136,2066,11-SEP-18,B,0,11-SEP-18,5,"OPILIO TANNER CRAB",M,359,12,1.14,913,86.75,13-JUL-20,15-JUL-20
2018,'22937002134000000066','22937002134000004220',514,1,NON PELAGIC,1,NO PROBLEM,2.66,A110,219,N,210,37,37,58.21167,-169.71667,58.42333,-169.74167,ATL,22937,2134,4220,865,20-SEP-18,B,0,20-SEP-18,5,"OPILIO TANNER CRAB",M,207,9,2.02,116,25.98,13-JUL-20,15-JUL-20
2018,'22709002733000000039','22709002733000004304',514,1,NON PELAGIC,1,NO PROBLEM,31.23,A050,295,N,199.8,28,28,58.12667,-167.005,58.305,-167.16,ATL,22709,2733,4304,278,02-JUN-18,B,0,02-JUN-18,5,"OPILIO TANNER CRAB",M,404,1,.15,77,11.49,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003998',524,1,NON PELAGIC,1,NO PROBLEM,9.79,A276,230,N,319.8,38,38,58.29667,-169.95833,58.44833,-170.44167,ATL,22877,3835,3998,830,17-SEP-18,B,0,17-SEP-18,5,"OPILIO TANNER CRAB",M,216,1,.08,45,3.62,13-JUL-20,15-JUL-20
2018,'22877003835000000073','22877003835000004014',514,1,NON PELAGIC,1,NO PROBLEM,54.33,A276,230,N,235.2,36,36,58.47167,-169.59,58.615,-169.89833,ATL,22877,3835,4014,837,19-SEP-18,B,0,19-SEP-18,5,"OPILIO TANNER CRAB",M,595,7,.83,639,75.79,13-JUL-20,15-JUL-20
2018,'22468002733000000032','22468002733000003578',517,1,NON PELAGIC,1,NO PROBLEM,30.44,A050,295,N,199.8,53,53,56.5,-166.60667,56.48167,-166.58167,ATL,22468,2733,3578,123,30-MAR-18,B,0,30-MAR-18,5,"OPILIO TANNER CRAB",M,481,1,.18,63,11.33,13-JUL-20,15-JUL-20
2018,'22922001996000000005','22922001996000000522',524,1,NON PELAGIC,1,NO PROBLEM,3.88,A078,296,N,279,39,39,58.60167,-170.50167,58.33167,-170.31333,ATL,22922,1996,522,648,02-NOV-18,B,0,02-NOV-18,5,"OPILIO TANNER CRAB",M,226,5,.6,84,10.09,13-JUL-20,15-JUL-20
2018,'23062002110000000058','23062002110000003474',513,1,NON PELAGIC,1,NO PROBLEM,9.75,A077,158,N,228,36,36,57.61667,-167.88333,57.83333,-167.7,ATL,23062,2110,3474,913,13-OCT-18,B,0,13-OCT-18,5,"OPILIO TANNER CRAB",M,183,4,1.16,208,60.21,13-JUL-20,15-JUL-20
2018,'23062002110000000058','23062002110000003484',513,1,NON PELAGIC,1,NO PROBLEM,21.12,A077,158,N,186,36,36,57.83333,-167.73333,57.66667,-167.83333,ATL,23062,2110,3484,918,13-OCT-18,B,0,13-OCT-18,5,"OPILIO TANNER CRAB",M,276,3,.65,228,49.5,13-JUL-20,15-JUL-20
2018,'23062002110000000058','23062002110000003508',513,1,NON PELAGIC,1,NO PROBLEM,11.5,A077,158,N,240,36,36,57.93333,-168.05,57.68333,-168.08333,ATL,23062,2110,3508,930,16-OCT-18,B,0,16-OCT-18,5,"OPILIO TANNER CRAB",M,169,5,.75,335,50.32,13-JUL-20,15-JUL-20
2018,'23062002110000000058','23062002110000003520',513,1,NON PELAGIC,1,NO PROBLEM,21.2,A077,158,N,169.2,35,35,58.01667,-168.4,57.9,-168.18333,ATL,23062,2110,3520,936,17-OCT-18,B,0,17-OCT-18,5,"OPILIO TANNER CRAB",M,361,1,.18,68,12.28,13-JUL-20,15-JUL-20
2018,'23062002110000000059','23062002110000003548',514,1,NON PELAGIC,1,NO PROBLEM,22.75,A077,158,N,270,36,36,57.98333,-168.65,58,-168.15,ATL,23062,2110,3548,950,23-OCT-18,B,0,23-OCT-18,5,"OPILIO TANNER CRAB",M,226,11,1.96,1081,192.54,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003914',524,1,NON PELAGIC,1,NO PROBLEM,33.73,A276,230,N,240,39,39,58.55667,-170.43667,58.81,-170.58833,ATL,22877,3835,3914,794,09-SEP-18,B,0,09-SEP-18,5,"OPILIO TANNER CRAB",M,386,14,1.44,1225,125.97,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003944',524,1,NON PELAGIC,1,NO PROBLEM,28.62,A276,230,N,201,37,37,58.92833,-170.295,58.79,-170.355,ATL,22877,3835,3944,806,12-SEP-18,B,0,12-SEP-18,5,"OPILIO TANNER CRAB",F,399,10,.57,717,40.88,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003948',524,1,NON PELAGIC,1,NO PROBLEM,34.67,A276,230,N,210,38,38,58.65833,-170.62333,58.76833,-170.32833,ATL,22877,3835,3948,808,12-SEP-18,B,0,12-SEP-18,5,"OPILIO TANNER CRAB",M,491,84,6.85,5929,483.46,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003950',524,1,NON PELAGIC,1,NO PROBLEM,25.36,A276,230,N,274.8,39,39,58.79,-170.28167,58.645,-170.65167,ATL,22877,3835,3950,809,13-SEP-18,B,0,13-SEP-18,5,"OPILIO TANNER CRAB",F,347,9,.52,658,38.04,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003952',524,1,NON PELAGIC,1,NO PROBLEM,9.63,A276,230,N,250.2,38,38,58.64,-170.66167,58.75667,-170.31167,ATL,22877,3835,3952,810,13-SEP-18,B,0,13-SEP-18,5,"OPILIO TANNER CRAB",F,265,14,.77,510,28.03,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003954',524,1,NON PELAGIC,1,NO PROBLEM,1.54,A276,230,N,49.8,38,38,58.75167,-170.31667,58.74667,-170.415,ATL,22877,3835,3954,811,13-SEP-18,B,0,13-SEP-18,5,"OPILIO TANNER CRAB",M,93,201,16.12,3320,266.25,13-JUL-20,15-JUL-20
2018,'22877003835000000071','22877003835000003930',524,1,NON PELAGIC,1,NO PROBLEM,17.23,A276,230,N,270,38,38,58.65,-170.62,58.875,-170.42833,ATL,22877,3835,3930,801,11-SEP-18,B,0,11-SEP-18,5,"OPILIO TANNER CRAB",M,291,4,.41,237,24.28,13-JUL-20,15-JUL-20
2018,'22922001996000000005','22922001996000000534',514,1,NON PELAGIC,4,NET RIPPED,4.58,A078,296,N,190.2,38,38,58.205,-169.885,58.115,-169.55167,ATL,22922,1996,534,654,03-NOV-18,B,0,03-NOV-18,5,"OPILIO TANNER CRAB",M,253,4,.62,71,11.07,13-JUL-20,15-JUL-20
2018,'23115033989000000022','23115033989000002072',524,8,LONGLINER,1,NO PROBLEM,15.71,77788,191,N,510,51,,61.40667,-175.63667,61.37167,-175.61667,ATL,23115,33989,2072,371,31-DEC-18,B,0,31-DEC-18,5,"OPILIO TANNER CRAB",M,7428,11,3.96,11,3.96,13-JUL-20,15-JUL-20
2018,'23062002110000000059','23062002110000003564',514,1,NON PELAGIC,1,NO PROBLEM,13.41,A077,158,N,222,35,35,58.05,-168.5,58,-168.13333,ATL,23062,2110,3564,958,25-OCT-18,B,0,25-OCT-18,5,"OPILIO TANNER CRAB",M,185,7,1.32,496,93.44,13-JUL-20,15-JUL-20
2018,'23062002110000000059','23062002110000003566',514,1,NON PELAGIC,1,NO PROBLEM,15.36,A077,158,N,255,36,36,58.01667,-168.08333,58.05,-168.51667,ATL,23062,2110,3566,959,25-OCT-18,B,0,25-OCT-18,5,"OPILIO TANNER CRAB",M,244,1,.16,63,10,13-JUL-20,15-JUL-20
2018,'23062002110000000059','23062002110000003568',513,1,NON PELAGIC,1,NO PROBLEM,41.18,A077,158,N,217.2,36,36,58.03333,-168.51667,57.83333,-168.41667,ATL,23062,2110,3568,960,25-OCT-18,B,0,25-OCT-18,5,"OPILIO TANNER CRAB",M,476,4,.65,344,55.83,13-JUL-20,15-JUL-20
2018,'22920003367000000050','22920003367000003390',524,1,NON PELAGIC,1,NO PROBLEM,11.96,A035,132,N,180,38,38,58.21333,-169.695,58.32667,-170.16167,ATL,22920,3367,3390,679,28-AUG-18,B,0,28-AUG-18,5,"OPILIO TANNER CRAB",M,228,5,.6,262,31.41,13-JUL-20,15-JUL-20
2018,'22920003367000000050','22920003367000003396',524,1,NON PELAGIC,1,NO PROBLEM,3.27,A035,132,N,240,37,37,58.12833,-169.955,58.315,-170.12,ATL,22920,3367,3396,682,29-AUG-18,B,0,29-AUG-18,5,"OPILIO TANNER CRAB",M,156,34,4.42,692,89.98,13-JUL-20,15-JUL-20
2018,'22920003367000000050','22920003367000003406',514,1,NON PELAGIC,1,NO PROBLEM,5.5,A035,132,N,255,38,38,58.43167,-170.27,58.30167,-169.83,ATL,22920,3367,3406,687,30-AUG-18,B,0,30-AUG-18,5,"OPILIO TANNER CRAB",M,151,28,3.42,1020,124.63,13-JUL-20,15-JUL-20
2018,'22920003367000000050','22920003367000003410',514,1,NON PELAGIC,1,NO PROBLEM,14.39,A035,132,N,289.8,36,36,58.41,-170.24,58.265,-169.82167,ATL,22920,3367,3410,689,30-AUG-18,B,0,30-AUG-18,5,"OPILIO TANNER CRAB",M,273,11,1.84,580,96.95,13-JUL-20,15-JUL-20
2018,'22880033470000000033','22880033470000002126',524,8,LONGLINER,1,NO PROBLEM,32.28,A716,119,N,940.2,29,,63.49833,-172.19667,63.51667,-172.87,ATL,22880,33470,2126,340,07-AUG-18,B,,07-AUG-18,5,"OPILIO TANNER CRAB",M,9248,1,.06,1,.06,13-JUL-20,15-JUL-20
2018,'22880033470000000033','22880033470000002162',524,8,LONGLINER,1,NO PROBLEM,14.02,A716,119,N,1078.2,29,,63.525,-172.93167,63.52333,-172.24167,ATL,22880,33470,2162,358,16-AUG-18,B,,16-AUG-18,5,"OPILIO TANNER CRAB",M,9760,3,.18,3,.18,13-JUL-20,15-JUL-20
2018,'22818003369000000026','22818003369000001436',521,1,NON PELAGIC,1,NO PROBLEM,10.97,A047,185,N,229.8,50,50,58.625,-172.38,58.55,-171.965,ATL,22818,3369,1436,710,20-AUG-18,B,0,20-AUG-18,5,"OPILIO TANNER CRAB",M,183,11,2.18,654,129.63,13-JUL-20,15-JUL-20
2018,'22818003369000000026','22818003369000001444',521,1,NON PELAGIC,1,NO PROBLEM,17.2,A047,185,N,181.2,52,52,58.46,-172.015,58.54833,-172.32333,ATL,22818,3369,1444,714,20-AUG-18,B,0,20-AUG-18,5,"OPILIO TANNER CRAB",F,252,5,.22,341,15,13-JUL-20,15-JUL-20
2018,'22818003369000000027','22818003369000001544',524,1,NON PELAGIC,1,NO PROBLEM,20.58,A047,185,N,178.8,39,39,58.66,-170.91167,58.7,-170.57333,ATL,22818,3369,1544,764,01-SEP-18,B,0,01-SEP-18,5,"OPILIO TANNER CRAB",F,284,1,.12,73,8.71,13-JUL-20,15-JUL-20
2018,'22818003369000000027','22818003369000001546',521,1,NON PELAGIC,1,NO PROBLEM,22.76,A047,185,N,267,42,42,58.685,-170.58,58.63333,-171.09667,ATL,22818,3369,1546,765,01-SEP-18,B,0,01-SEP-18,5,"OPILIO TANNER CRAB",M,374,11,1.16,668,70.45,13-JUL-20,15-JUL-20
2018,'22818003369000000028','22818003369000001566',524,1,NON PELAGIC,1,NO PROBLEM,38.41,A047,185,N,178.2,38,38,58.64,-170.51333,58.50667,-170.29167,ATL,22818,3369,1566,775,06-SEP-18,B,0,06-SEP-18,5,"OPILIO TANNER CRAB",M,502,6,.56,459,42.87,13-JUL-20,15-JUL-20
2018,'22636003694000000049','22636003694000002930',513,1,NON PELAGIC,1,NO PROBLEM,11.36,A103,186,N,210,40,40,56.84167,-166.60333,56.94,-166.95167,ATL,22636,3694,2930,543,26-JUN-18,B,0,26-JUN-18,5,"OPILIO TANNER CRAB",M,234,1,.14,48,6.74,13-JUL-20,15-JUL-20
2018,'22818003369000000026','22818003369000001448',521,1,NON PELAGIC,1,NO PROBLEM,8.19,A047,185,N,303,52,52,58.46667,-171.82333,58.61167,-172.27,ATL,22818,3369,1448,716,21-AUG-18,B,0,21-AUG-18,5,"OPILIO TANNER CRAB",M,195,45,9.54,1877,397.98,13-JUL-20,15-JUL-20
2018,'22818003369000000027','22818003369000001518',514,1,NON PELAGIC,1,NO PROBLEM,5.1,A047,185,N,253.2,34,34,58.62333,-170,58.84333,-169.78,ATL,22818,3369,1518,751,30-AUG-18,B,0,30-AUG-18,5,"OPILIO TANNER CRAB",M,183,40,4.04,1101,111.2,13-JUL-20,15-JUL-20
2018,'22818003369000000027','22818003369000001526',524,1,NON PELAGIC,1,NO PROBLEM,9.87,A047,185,N,289.2,39,39,58.63833,-170.295,58.80833,-170.715,ATL,22818,3369,1526,755,31-AUG-18,B,0,31-AUG-18,5,"OPILIO TANNER CRAB",M,203,17,1.56,825,75.72,13-JUL-20,15-JUL-20
2018,'22362003336000000014','22362003336000001254',521,8,LONGLINER,1,NO PROBLEM,11.76,A237,155,N,910.8,49,,57.84333,-171.01333,57.72833,-171.26667,ATL,22362,3336,1254,49,26-JAN-18,B,,26-JAN-18,5,"OPILIO TANNER CRAB",M,4200,0,.06,0,.06,13-JUL-20,15-JUL-20
2018,'22362003336000000014','22362003336000001268',521,8,LONGLINER,1,NO PROBLEM,17.43,A237,155,N,879,50,,57.92,-171.14,57.80667,-171.39333,ATL,22362,3336,1268,56,28-JAN-18,B,0,28-JAN-18,5,"OPILIO TANNER CRAB",M,4200,1,.2,1,.2,13-JUL-20,15-JUL-20
2018,'22999004598000000008','22999004598000000296',524,8,LONGLINER,1,NO PROBLEM,49.02,A309,150,N,1440,33,,61.59333,-172.09833,61.625,-172.12333,ATL,22999,4598,296,125,05-OCT-18,B,,05-OCT-18,5,"OPILIO TANNER CRAB",F,22450,0,.01,0,.01,13-JUL-20,15-JUL-20
2018,'22362003336000000014','22362003336000001338',521,8,LONGLINER,1,NO PROBLEM,14.5,A237,155,N,994.2,55,,57.32667,-171.52,57.50333,-171.52,ATL,22362,3336,1338,92,09-FEB-18,B,0,09-FEB-18,5,"OPILIO TANNER CRAB",M,2644,1,.5,6,1.54,13-JUL-20,15-JUL-20
